  0.025    0.000000
  0.050    0.000000
  0.075    0.000000
  0.100    0.000000
  0.125    0.000000
  0.150    0.000000
  0.175    0.000000
  0.200    0.000000
  0.225    0.000000
  0.250    0.000488
  0.275    0.000000
  0.300    0.000000
  0.325    0.001440
  0.350    0.000000
  0.375    0.000867
  0.400    0.001520
  0.425    0.001860
  0.450    0.000904
  0.475    0.001490
  0.500    0.001590
  0.525    0.000443
  0.550    0.000807
  0.575    0.002120
  0.600    0.001270
  0.625    0.004220
  0.650    0.002090
  0.675    0.005090
  0.700    0.005600
  0.725    0.005160
  0.750    0.006670
  0.775    0.006550
  0.800    0.008580
  0.825    0.009590
  0.850    0.010600
  0.875    0.014500
  0.900    0.013400
  0.925    0.018900
  0.950    0.021700
  0.975    0.038300
  1.000    0.086100
  1.020    0.210000
  1.050    0.418000
  1.070    0.719000
  1.100    1.120000
  1.120    1.500000
  1.150    1.810000
  1.180    1.980000
  1.200    2.050000
  1.230    1.980000
  1.250    1.830000
  1.280    1.650000
  1.300    1.460000
  1.320    1.270000
  1.350    1.130000
  1.380    1.030000
  1.400    0.954000
  1.430    0.895000
  1.450    0.859000
  1.480    0.864000
  1.500    0.850000
  1.530    0.864000
  1.550    0.874000
  1.570    0.890000
  1.600    0.900000
  1.620    0.920000
  1.650    0.935000
  1.680    0.962000
  1.700    0.987000
  1.730    1.030000
  1.750    1.050000
  1.780    1.080000
  1.800    1.090000
  1.820    1.110000
  1.850    1.110000
  1.880    1.120000
  1.900    1.110000
  1.930    1.090000
  1.950    1.080000
  1.980    1.060000
  2.000    1.030000
  2.020    1.010000
  2.050    0.988000
  2.080    0.983000
  2.100    0.955000
  2.120    0.944000
  2.150    0.923000
  2.180    0.914000
  2.200    0.901000
  2.230    0.891000
  2.250    0.890000
  2.270    0.878000
  2.300    0.880000
  2.330    0.896000
  2.350    0.913000
  2.380    0.906000
  2.400    0.919000
  2.430    0.920000
  2.450    0.934000
  2.480    0.945000
  2.500    0.955000
  2.520    0.962000
  2.550    0.979000
  2.580    0.978000
  2.600    0.991000
  2.620    0.992000
  2.650    1.000000
  2.680    1.010000
  2.700    1.010000
  2.730    1.010000
  2.750    1.030000
  2.770    1.030000
  2.800    1.040000
  2.830    1.030000
  2.850    1.040000
  2.880    1.040000
  2.900    1.030000
  2.930    1.030000
  2.950    1.030000
  2.980    1.030000
  3.000    1.030000
  3.020    1.020000
  3.050    1.010000
  3.080    1.010000
  3.100    1.000000
  3.120    1.010000
  3.150    1.000000
  3.180    0.993000
  3.200    0.992000
  3.230    0.984000
  3.250    0.983000
  3.270    0.982000
  3.300    0.978000
  3.330    0.980000
  3.350    0.979000
  3.380    0.975000
  3.400    0.974000
  3.430    0.973000
  3.450    0.974000
  3.480    0.981000
  3.500    0.980000
